OrgID,Charity Name,Address ,City,State,Zip,Website URL,Cause,Total Expenses,Total Net Assets
9099,The Painted Turtle,1300 Fourth Street Suite 300,Santa Monica,CA,90401,http://www.thepaintedturtle.org,Patient and Family Support,"$6,843,647 ","$35,352,800 "
4142,The Paley Center for Media,25 West 52nd Street ,New York,NY,10019,http://www.paleycenter.org/,Performing Arts,"$18,442,236 ","$118,781,670 "
13322,The Parenting Center,2928 West Fifth Street ,Fort Worth,TX,76107,http://theparentingcenter.org/,Children's and Family Services,"$2,867,621 ","$2,528,647 "
15576,The Parenting Journey,366 Somerville Avenue ,Somerville,MA,2143,http://parentingjourney.org/,Children's and Family Services,"$2,721,703 ","$7,125,281 "
8375,The Parish School,11001 Hammerly Boulevard ,Houston,TX,77043,http://www.parishschool.org,Special Education,"$5,468,652 ","$8,250,859 "
14673,The Park People,1510 S. Grant Street ,Denver,CO,80210,http://theparkpeople.org/,"Botanical Gardens, Parks, and Nature Centers","$691,462 ","$1,339,189 "
6697,The Parrish Art Museum,279 Montauk Highway ,Water Mill,NY,11976,http://parrishart.org/,Museums,"$6,074,296 ","$38,697,909 "
15273,The Pav YMCA,2947 South Oak Park Avenue ,Berwyn,IL,60402,https://pavymca.org/,Multipurpose Human Service Organizations,"$2,826,602 ","$2,394,114 "
4315,The Peregrine Fund,5668 West Flying Hawk Lane ,Boise,ID,83709,http://www.peregrinefund.org,Wildlife Conservation,"$6,360,742 ","$20,660,962 "
17474,The Periwinkle Foundation,3400 Bissonnet Street Suite 185,Houston,TX,77005,http://periwinklefoundation.org/,Patient and Family Support,"$1,609,715 ","$1,708,740 "
10246,The Perlman Music Program,19 West 69th Street Suite 1101,New York,NY,10023,http://perlmanmusicprogram.org,Youth Education Programs and Services,"$2,851,793 ","$12,211,658 "
15212,The Permian Basin Petroleum Museum,1500 Interstate 20 West ,Midland,TX,79701,http://petroleummuseum.org/,Museums,"$2,334,901 ","$45,683,845 "
4323,The Philadelphia Orchestra,One South Broad Street 14th Floor,Philadelphia,PA,19102,http://www.philorch.org/,Performing Arts,"$52,489,362 ","$86,778,035 "
4801,The Philadelphia Zoo,3400 West Girard Avenue ,Philadelphia,PA,19104,http://www.philadelphiazoo.org,Zoos and Aquariums,"$41,144,851 ","$103,337,560 "
8103,The Philanthropy Roundtable,1120 20th Street NW Suite 550 South,Washington,DC,20036,http://www.philanthropyroundtable.org/,Social and Public Policy Research,"$8,260,682 ","$12,613,369 "
5479,The Phillips Collection,"1600 21st Street, NW ",Washington,DC,20009,http://www.phillipscollection.org,Museums,"$13,801,859 ","$96,608,958 "
17408,The Phoenix,2239 Champa Street ,Denver,CO,80205,https://thephoenix.org/,Treatment and Prevention Services,"$5,323,746 ","$6,552,019 "
7373,The Phoenix Symphony,One North First Street Suite 200,Phoenix,AZ,85004,http://www.phoenixsymphony.org,Performing Arts,"$13,126,785 ","($498,723)"
9179,The Pike Place Market Foundation,93 Pike Street Suite 310,Seattle,WA,98101,http://www.pikeplacemarketfoundation.org,Housing and Neighborhood Development,"$2,047,171 ","$6,005,673 "
4552,The Pittsburgh Cultural Trust,803 Liberty Avenue ,Pittsburgh,PA,15222,http://pgharts.org,Performing Arts,"$67,989,120 ","$130,927,179 "
4334,The Pittsburgh Foundation,Five PPG Place Suite 250,Pittsburgh,PA,15222,http://www.pittsburghfoundation.org,Community Foundations,"$66,543,641 ","$1,010,353,853 "
9152,The Pittsburgh Project,2801 North Charles Street ,Pittsburgh,PA,15214,http://www.pittsburghproject.org/,Housing and Neighborhood Development,"$1,812,477 ","$1,983,764 "
7483,The Planetary Society,60 South Los Robles Avenue ,Pasadena,CA,91101,http://www.planetary.org/,Non-Medical Science & Technology Research,"$4,927,577 ","$10,183,485 "
14107,The Pocket Testament League,P.O. Box 800 ,Lititz,PA,17543,http://www.ptl.org/,Religious Activities,"$3,602,514 ","$2,992,652 "
5009,The Polly Hill Arboretum,809 State Road ,West Tisbury,MA,2575,http://www.pollyhillarboretum.org,"Botanical Gardens, Parks, and Nature Centers","$1,618,063 ","$27,175,383 "
14614,The Pope Memorial SPCA of Concord-Merrimack County,94 Silk Farm Road ,Concord,NH,3301,http://www.popememorialspca.org/,"Animal Rights, Welfare, and Services","$921,763 ","$3,533,443 "
7772,The Posse Foundation,14 Wall Street Suite 8A-60,New York,NY,10005,http://www.possefoundation.org/,Scholarship and Financial Support,"$23,549,042 ","$80,020,742 "
8354,The Potter's House,"810 Van Raalte Drive, SW ",Grand Rapids,MI,49509,https://tphgr.org/,Youth Education Programs and Services,"$6,213,694 ","$11,022,096 "
11815,The Poverello Center,2056 North Dixie Highway ,Wilton Manors,FL,33305,http://www.poverello.org ,Patient and Family Support,"$3,817,656 ","$3,764,973 "
15797,The Praise Network,128 South Fourth Street ,O'Neill,NE,68763,http://praisenetwork.info/wp/,Religious Media and Broadcasting,"$1,158,153 ","$701,374 "
9391,The PRASAD Project,PO Box 576 100 Sullivan Ave,Ferndale ,NY,12734,http://www.prasad.org/,Development and Relief Services,"$584,917 ","$2,300,508 "
11810,The Prem Rawat Foundation,P.O. Box  24-1498 ,Los Angeles,CA,90024,https://www.tprf.org,"International Peace, Security, and Affairs","$1,658,340 ","$2,585,921 "
11799,The Presidential Prayer Team,P.O. Box 4140 ,Scottsdale,AZ,85261,http://presidentialprayerteam.org,Religious Activities,"$1,229,458 ","$1,312,073 "
