OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Expenses,Total Net Assets
14935,United Way of Harrison County,445 West Main Street Suite 203,Clarksburg,WV,26301,http://www.unitedwayhcwv.org/,Community Development,United Ways,1230632,6399835
15807,United Way of Harrisonburg & Rockingham County,100 South Mason Street Suite A,Harrisonburg,VA,22801,http://www.uwhr.org/,Community Development,United Ways,1134933,1181737
18108,United Way of Henderson County,32 Smyth Avenue Suite 100,Hendersonville,NC,28792,https://www.liveunitedhc.org/,Community Development,United Ways,1734514,1342836
18541,United Way of Horry County,761 Century Circle ,Conway,SC,29526,http://unitedwayhorry.org,Community Development,United Ways,1220437,571166
14708,United Way of Howard County,210 West Walnut Street ,Kokomo,IN,46901,http://unitedwayhoco.org/,Community Development,United Ways,2243451,1037989
13870,United Way of Hudson County,857 Bergen Avenue ,Jersey City,NJ,7306,http://www.unitedwayhudson.org/,Community Development,United Ways,2080832,334360
13455,United Way of Hunterdon County,4 Walter East Foran Boulevard ,Flemington,NJ,8822,http://www.uwhunterdon.org/,Community Development,United Ways,1215533,2240004
10732,United Way of Indian River County,1836 14th Avenue ,Vero Beach,FL,32960,http://www.unitedwayirc.org/,Community Development,United Ways,3062495,2032643
14921,United Way of Jackson County,536 North Jackson Street ,Jackson,MI,49201,http://www.uwjackson.org/,Community Development,United Ways,8742867,2291864
11301,United Way of Johnson and Washington Counties,1150 5th Street Suite 290,Coralville,IA,52241,http://www.unitedwayjwc.org/,Community Development,United Ways,2217403,1577520
13799,United Way of Johnson County,594 Ironwood Drive ,Franklin,IN,46131,http://www.uwjc.org/,Community Development,United Ways,1751360,475247
15540,United Way of Kennebec Valley,121 Commercial Street ,Augusta,ME,4330,http://www.uwkv.org/,Community Development,United Ways,1641206,1597150
18616,United Way of Kenosha County,5500 Sixth Avenue Suite 210,Kenosha,WI,53140,https://www.kenoshaunitedway.org/,Community Development,United Ways,1069758,1755469
14825,United Way of Kentucky,"334 E. Broadway, Suite 308 P.O. Box 4653",Louisville,KY,40204,http://www.uwky.org/,Community Development,United Ways,724809,1087536
10402,United Way of Kern County,5405 Stockdale Highway Suite 200,Bakersfield,CA,93309,http://www.uwkern.org,Community Development,United Ways,2133076,737780
15843,United Way of Kershaw County,110 East Dekalb Street ,Camden,SC,29020,https://www.uwkc.net,Community Development,United Ways,1470003,662590
4642,United Way of King County,720 Second Avenue ,Seattle,WA,98104,http://www.uwkc.org,Community Development,United Ways,66865634,48958862
13692,United Way of Kitsap County,645 Fourth Street Suite 100,Bremerton,WA,98337,http://www.unitedwaykitsap.org/,Community Development,United Ways,1033684,2643590
18612,"United Way of Knox County, Ohio",305 East High Street ,Mount Vernon,OH,43050,https://www.uwayknox.org/,Community Development,United Ways,1233594,1036515
14496,United Way of Kosciusko County,"119 E. Center Street, Suite A5 ",Warsaw,IN,46580,http://www.unitedwaykosciusko.org/,Community Development,United Ways,1298503,3301416
12276,United Way of Lackawanna and Wayne Counties,615 Jefferson Avenue  PO Box 526,Scranton,PA,18501,http://www.uwlc.net/,Community Development,United Ways,3865138,5991962
8230,United Way of Lake & Sumter Counties,32644 Blossom Lane ,Leesburg,FL,34788,http://www.uwls.org,Community Development,United Ways,1544026,2334655
13694,United Way of Lake County,9285 Progress Parkway ,Mentor,OH,44060,http://www.uwlc.org,Community Development,United Ways,1981174,2294671
9480,"United Way of Lake County, IL",330 South Greenleaf Street ,Gurnee,IL,60031,http://www.LiveUnitedlakecounty.org,Community Development,United Ways,6799925,9115969
6809,United Way of Lancaster County,1910 Harrington Drive Suite A,Lancaster,PA,17601,http://www.uwlanc.org/,Community Development,United Ways,6478755,4277615
8232,United Way of Lane County,3171 Gateway Loop ,Springfield,OR,97477,http://unitedwaylane.org/,Community Development,United Ways,8492909,2958369
14492,United Way of Laramie County,1007 E Lincolnway ,Cheyenne,WY,82001,http://www.unitedwayoflaramiecounty.org/,Community Development,United Ways,1357705,428961
11594,United Way of Larimer County,525 West Oak Street Suite 101,Fort Collins,CO,80521,http://www.uwaylc.org,Community Development,United Ways,5180776,4793629
14829,United Way of Lebanon County,801 Cumberland Street ,Lebanon,PA,17042,http://www.unitedwaylebco.org/,Community Development,United Ways,1766144,4458807
13316,"United Way of Lee, Hendry, Glades, and Okeechobee",7273 Concourse Drive ,Fort Myers,FL,33908,http://www.unitedwaylee.org/,Community Development,United Ways,12593401,10439593
14000,United Way of Licking County,"50 South Second Street, 2nd Floor P.O. Box 4490",Newark,OH,43058,http://www.unitedwaylc.org,Community Development,United Ways,1546965,1434998
13621,United Way of Lincoln and Lancaster County,238 South 13th Street ,Lincoln,NE,68508,http://www.unitedwaylincoln.org/,Community Development,United Ways,7188636,2140029
4932,United Way of Long Island,819 Grand Boulevard ,Deer Park,NY,11729,http://www.unitedwayli.org/,Community Development,United Ways,16638142,5601369
10097,"United Way of Madison County, Alabama",701 Andrew Jackson Way ,Huntsville,AL,35801,http://www.uwmadisoncounty.org/,Community Development,United Ways,2803127,2340442
14507,"United Way of Madison County, Indiana",P.O. Box 1200 ,Anderson,IN,46015,http://www.unitedwaymadisonco.org/,Community Development,United Ways,871510,1986494
14288,United Way of Marathon County,705 South 24th Avenue Suite 400B,Wausau,WI,54401,http://unitedwaymc.org/,Community Development,United Ways,3421196,2500481
13608,United Way of Marion County,1401 NE 2nd Street ,Ocala,FL,34470,http://www.uwmc.org/,Community Development,United Ways,2760544,5828978
4643,United Way of Massachusetts Bay and Merrimack Valley,51 Sleeper Street ,Boston,MA,2210,http://unitedwaymassbay.org/,Community Development,United Ways,47523414,51704743
10620,United Way of McLean County,201 East Grove Street ,Bloomington,IL,61701,http://www.uwaymc.org,Community Development,United Ways,1405510,1464940
14687,United Way of Medina County,728 East Smith Road Suite D,Medina,OH,44256,http://www.unitedwaymedina.org/,Community Development,United Ways,1158369,692799
18331,United Way of Merced County,531 West Main Street ,Merced,CA,95340,http://www.unitedwaymerced.org/,Community Development,United Ways,1544421,502116
13304,United Way of Mercer County,493 South Hermitage Road ,Hermitage,PA,16148,http://www.uwmercercounty.org/,Community Development,United Ways,1179955,882896
12494,United Way of Mesa County,422 White Avenue 3rd Floor,Grand Junction,CO,81501,http://www.unitedwaymesacounty.org/,Community Development,United Ways,932183,180150
12433,United Way of Metropolitan Chicago,333 South Wabash Avenue 30th Floor,Chicago,IL,60601,http://www.LIVEUNITEDchicago.org,Community Development,United Ways,51147599,13184111
4645,United Way of Metropolitan Dallas,1800 North Lamar ,Dallas,TX,75202,http://www.unitedwaydallas.org,Community Development,United Ways,61555555,77946732
5606,United Way of Metropolitan Nashville,250 Venture Circle ,Nashville,TN,37228,http://www.unitedwaynashville.org,Community Development,United Ways,24881558,24215170
11245,"United Way of Miami County, Inc.",395 East Broad Street Suite 320,Columbus,OH,43215,http://www.ouw.org/,Community Development,United Ways,872862,1109091
4634,United Way of Miami-Dade,The Ansin Building 3250 Southwest Third Avenue,Miami,FL,33129,http://www.unitedwaymiami.org,Community Development,United Ways,62606407,52497960
