OrgID,charity_name,cause,category,address,City,state,zip,web_url,total_expenses,total_net_assets,class
12896,Right To Play,Development and Relief Services,International,26 Broadway Suite 365,New York,NY,10004,http://www.righttoplayusa.org,"$3,615,246","$2,337,340",2
5232,Riley Children's Foundation,Treatment and Prevention Services,Health,30 South Meridian Street Suite 200,Indianapolis,IN,46204,http://www.rileykids.org,"$44,903,101","$369,646,747",0
16046,RIOULT Dance NY,Performing Arts,"Arts, Culture, Humanities",34-01 Steinway Street ,Astoria,NY,11101,http://www.rioult.org/,"$2,323,260","$2,572,315",0
10713,Rise for Animals,"Animal Rights, Welfare, and Services",Animals,333 Washington Street Suite 850,Boston,MA,2108,https://riseforanimals.org/,"$1,674,884","$6,748,832",1
15624,Rising Tide Capital,Social Services,Human Services,384 Martin Luther King Drive ,Jersey City,NJ,7305,http://risingtidecapital.org/,"$4,843,893","$5,247,964",1
15453,Rising Treetops at Oakhurst,Patient and Family Support,Health,1140 Broadway Suite 903,New York,NY,10001,https://risingtreetops.org/,"$2,557,760","$4,137,141",1
15749,River Bend Foodbank,"Food Banks, Food Pantries, and Food Distribution",Human Services,4010 Kimmel Drive ,Davenport,IA,52802,https://riverbendfoodbank.org/,"$29,271,514","$8,304,801",1
16552,River City Food Bank,"Food Banks, Food Pantries, and Food Distribution",Human Services,1800 28th Street ,Sacramento,CA,95816,http://rivercityfoodbank.org/,"$2,522,166","$1,454,544",1
4400,River Network,Environmental Protection and Conservation,Environment,737 29th Street Suite 201,Boulder,CO,80303,http://www.rivernetwork.org,"$2,817,296","$1,849,688",1
13641,River Region United Way,United Ways,Community Development,3121 Zelda Court ,Montgomery,AL,36106,http://www.riverregionunitedway.org,"$2,819,210","$5,503,671",0
7013,Riveredge Nature Center,"Botanical Gardens, Parks, and Nature Centers",Environment,4458 West Hawthorne Drive P.O. Box 26,Newburg,WI,53060,http://riveredgenaturecenter.org/,"$1,971,481","$8,255,614",0
7566,Riverfront Recapture,"Botanical Gardens, Parks, and Nature Centers",Environment,50 Columbus Boulevard 1st Floor,Hartford,CT,6106,http://www.riverfront.org/,"$3,367,417","$3,032,586",0
6740,Riverkeeper,Environmental Protection and Conservation,Environment,20 Secor Road ,Ossining,NY,10562,http://www.riverkeeper.org/,"$4,337,617","$2,071,349",1
14016,Riverlife,Housing and Neighborhood Development,Community Development,707 Grant Street Suite 3500,Pittsburgh,PA,15219,http://www.riverlifepgh.org/,"$1,322,378","$1,518,121",1
8942,Riverside Park Conservancy,"Botanical Gardens, Parks, and Nature Centers",Environment,475 Riverside Drive Suite 455,New York,NY,10115,https://riversideparknyc.org/,"$5,790,450","$4,717,645",0
