OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Revenue,Total Expenses,Fundraising Expenses,CEO Salary,Total Net Assets
16338,Row New York,"252 West 37th Street, 4th Floor ",New York,NY,10018,http://www.rownewyork.org/,Human Services,"Youth Development, Shelter, and Crisis Services","$5,314,002","$3,898,972","$495,735","$133,250","$3,271,990"
14758,Rowan Helping Ministries,226 North Long Street ,Salisbury,NC,28144,http://www.rowanhelpingministries.org/,Human Services,Rescue Missions,"$4,127,062","$3,897,590","$266,708","$79,855","$2,865,003"
15040,Rowan-Cabarrus YMCA,215 Guffy Street ,Salisbury,NC,28147,http://www.rocabymca.org,Human Services,Multipurpose Human Service Organizations,"$6,836,967","$6,200,753","$104,361","$139,583","$9,860,294"
15942,Rubicon Theatre Company,1006 East Main Street ,Ventura,CA,93001,http://www.rubicontheatre.org/,"Arts, Culture, Humanities",Performing Arts,"$1,830,311","$2,019,581","$183,265","$97,298","-$479,453"
5490,Ruffed Grouse Society,451 McCormick Road ,Coraopolis,PA,15108,http://www.ruffedgrousesociety.org/,Animals,Wildlife Conservation,"$5,530,224","$5,368,847","$202,553","$115,000","$6,617,603"
10082,Rural Advancement Foundation International-USA,274 Pittsboro Elementary School Road ,Pittsboro,NC,27312,http://www.rafiusa.org/,Environment,Environmental Protection and Conservation,"$1,516,897","$2,186,199","$70,453",$0,"$2,899,282"
9788,Russian Arts Foundation,PO Box 567 ,Montpelier,VT,5602,http://www.russianarts.org/,"Arts, Culture, Humanities",Performing Arts,"$1,497,117","$1,827,884","$28,105",$0,"$10,092,812"
15645,Russian Children's Welfare Society,16 West 32nd Street No. 405,New York,NY,10001,http://rcws.org/,International,Development and Relief Services,"$2,470,209","$2,436,393","$141,317","$82,500","$11,312,818"
12045,Ruth & Norman Rales Jewish Family Service,21300 Ruth & Baron Coleman Boulevard ,Boca Raton,FL,33428,http://www.ruthralesjfs.org,Human Services,Children's and Family Services,"$11,162,253","$13,085,911","$334,584","$238,826","$18,847,231"
18435,Ruth Bancroft Garden,1552 Bancroft Road ,Walnut Creek,CA,94598,https://www.ruthbancroftgarden.org/,Environment,"Botanical Gardens, Parks, and Nature Centers","$3,204,214","$884,448","$119,144",$0,"$4,581,955"
17102,RV/MH Heritage Foundation,21565 Executive Parkway ,Elkhart,IN,46514,http://www.rvmhhalloffame.org,"Arts, Culture, Humanities",Museums,"$1,018,338","$690,391","$32,320",,"$8,175,109"
6050,RWJ University Hospital Foundation,10 Plum Street Suite 910,New Brunswick,NJ,8901,http://www.RWJUHfdn.org,Health,Treatment and Prevention Services,"$8,732,305","$9,963,388","$1,396,003",$0,"$49,536,000"
14547,Ryan House,110 West Merrell Street First Floor,Phoenix,AZ,85013,https://ryanhouse.org/,Health,Patient and Family Support,"$2,470,709","$2,503,991","$390,559","$27,695","$4,334,160"
5860,Saban Community Clinic,8405 Beverly Boulevard ,Los Angeles,CA,90048,http://www.sabancommunityclinic.org/,Health,Treatment and Prevention Services,"$23,953,485","$25,898,475","$1,055,396","$217,520","$17,258,195"
11455,Sabathani Community Center,310 East 38th Street ,Minneapolis,MN,55409,http://www.sabathani.org,Human Services,Social Services,"$1,660,232","$1,783,931","$126,327","$95,014","$1,533,579"
5982,Sabin Vaccine Institute,"2175 K Street NW, Suite 400 ",Washington,DC,20037,http://www.sabin.org,Health,Medical Research,"$10,461,046","$10,412,345","$203,576","$362,202","$13,100,697"
17782,Sacramento Food Bank & Family Services,3333 Third Avenue ,Sacramento,CA,95817,https://www.sacramentofoodbank.org,Human Services,"Food Banks, Food Pantries, and Food Distribution","$49,854,252","$50,122,046","$892,662","$200,000","$21,779,037"
10626,Sacramento Loaves & Fishes,1351 North C. Street ,Sacramento,CA,95811,http://www.sacloaves.org,Human Services,Social Services,"$6,752,997","$7,111,198","$304,399","$109,800","$7,973,267"
5793,Sacramento SPCA,6201 Florin-Perkins Road ,Sacramento,CA,95828,http://www.sspca.org/,Animals,"Animal Rights, Welfare, and Services","$8,078,459","$7,317,931","$905,880","$152,451","$16,489,310"
5812,Sacramento Zoo,3930 West Land Park Drive ,Sacramento,CA,95822,http://www.saczoo.org,Animals,Zoos and Aquariums,"$8,817,026","$8,436,988","$430,999","$145,076","$13,382,095"
12260,Sacred Heart Center,P.O. Box 2000 ,Eagle Butte,SD,57625,http://shconline.org/,Human Services,Social Services,"$3,066,156","$3,107,345","$914,698","$76,888","$1,576,919"
8296,Sacred Heart Community Service,1381 South First Street ,San Jose,CA,95110,http://www.sacredheartcs.org,Human Services,Social Services,"$21,475,774","$21,400,210","$417,402","$166,185","$7,378,049"
10668,Sacred Heart Nativity School,310 Edwards Avenue ,San Jose,CA,95110,http://www.shnativity.org,Education,Youth Education Programs and Services,"$1,953,426","$2,241,435","$302,710",$0,"$6,272,590"
4881,SADD - Students Against Destructive Decisions,1440 1440 G Street NW,Washington,DC,20005,http://www.sadd.org/,Health,Treatment and Prevention Services,"$1,507,095","$1,663,128","$126,915","$88,641","-$6,189"
16693,Saddle Up!,1549 Old Hillsboro Road ,Franklin,TN,37069,http://saddleupnashville.org/,Human Services,Social Services,"$1,467,147","$1,073,677","$182,958","$85,638","$8,283,121"
8553,Safari Club International Foundation ,4800 West Gates Pass Road ,Tucson,AZ,85745,http://www.safariclubfoundation.org,Animals,Wildlife Conservation,"$6,670,914","$5,739,979","$1,027,994","$158,104","$25,078,930"
